id,name,surname,party,area,house
274886,AIELLO Pietro,AIELLO,Area Popolare (NCD-UDC),Calabria,Senate
685864,Airola Alberto,Airola,Movimento 5 stelle,Piemonte,Senate
341191,Albano Donatella,Albano,Partito Democratico,Liguria,Senate
2,ALBERTINI Gabriele,ALBERTINI,Area Popolare (NCD-UDC),Lombardia,Senate
332966,ALICATA Bruno,ALICATA,Popolo della Libertà,Sicilia,Senate
1454,AMATI Silvana,AMATI,Partito Democratico,Marche,Senate
8407,AMIDEI Bartolomeo,AMIDEI,Popolo della Libertà,Veneto,Senate
175,AMORUSO Francesco Maria,AMORUSO,Popolo della Libertà,Puglia,Senate
687154,Angioni Ignazio,Angioni,Partito Democratico,Sardegna,Senate
687012,Anitori Fabiola,Anitori,Area Popolare (NCD-UDC),Lazio,Senate
274860,ARACRI Francesco,ARACRI,Popolo della Libertà,Lazio,Senate
9339,ARRIGONI Paolo,ARRIGONI,Lega Nord e autonomie,Lombardia,Senate
124789,ASTORRE Bruno,ASTORRE,Partito Democratico,Lazio,Senate
1460,AUGELLO Andrea,AUGELLO,Area Popolare (NCD-UDC),Lazio,Senate
79566,AURICCHIO Domenico,AURICCHIO,Popolo della Libertà,Campania,Senate
1461,AZZOLLINI Antonio,AZZOLLINI,Area Popolare (NCD-UDC),Puglia,Senate
192,BARANI Lucio,BARANI,Grandi autonomie e libertà,Lombardia,Senate
685753,Barozzino Giovanni,Barozzino,Gruppo Misto,Basilicata,Senate
686927,Battista Lorenzo,Battista,Gruppo per le autonomie-Psi,Friuli-Venezia Giulia,Senate
434820,Bellot Raffaela,Bellot,Lega Nord e autonomie,Veneto,Senate
686973,Bencini Alessandra,Bencini,Gruppo Misto,Toscana,Senate
6440,BERGER Johann Karl,BERGER,Gruppo per le autonomie-Psi,Trentino-Alto Adige,Senate
332681,BERNINI Anna Maria,BERNINI,Popolo della Libertà,Emilia-Romagna,Senate
330321,BERTACCO Stefano,BERTACCO,Popolo della Libertà,Veneto,Senate
687122,Bertorotta Ornella,Bertorotta,Movimento 5 stelle,Sicilia,Senate
240830,BERTUZZI Maria Teresa,BERTUZZI,Partito Democratico,Emilia-Romagna,Senate
687124,Bianco Amedeo,Bianco,Partito Democratico,Sicilia,Senate
1482,BIANCONI Laura,BIANCONI,Area Popolare (NCD-UDC),Emilia-Romagna,Senate
686838,Bignami Laura,Bignami,Gruppo Misto,Lombardia,Senate
121829,BILARDI Giovanni Emanuele,BILARDI,Area Popolare (NCD-UDC),Calabria,Senate
570842,BISINELLA Patrizia,BISINELLA,Lega Nord e autonomie,Veneto,Senate
685699,Blundo Rosetta Enza,Blundo,Movimento 5 stelle,Abruzzo,Senate
687663,Bocca Bernabò,Bocca,Popolo della Libertà,Friuli-Venezia Giulia,Senate
687126,Bocchino Fabrizio,Bocchino,Gruppo Misto,Sicilia,Senate
225,BONAIUTI Paolo,BONAIUTI,Area Popolare (NCD-UDC),Lombardia,Senate
226,BONDI Sandro,BONDI,Popolo della Libertà,Lombardia,Senate
1490,BONFRISCO Anna Cinzia,BONFRISCO,Popolo della Libertà,Veneto,Senate
4475,BORIOLI Daniele Gaetano,BORIOLI,Partito Democratico,Piemonte,Senate
686975,Bottici Laura,Bottici,Movimento 5 stelle,Toscana,Senate
27997,BROGLIA Claudio,BROGLIA,Partito Democratico,Emilia-Romagna,Senate
7265,BRUNI Francesco,BRUNI,Popolo della Libertà,Puglia,Senate
244,BRUNO Donato,BRUNO,Popolo della Libertà,Puglia,Senate
1498,BUBBICO Filippo,BUBBICO,Partito Democratico,Basilicata,Senate
687085,Buccarella Maurizio,Buccarella,Movimento 5 stelle,Puglia,Senate
248,BUEMI Enrico,BUEMI,Gruppo per le autonomie-Psi,Piemonte,Senate
686949,Bulgarelli Elisa,Bulgarelli,Movimento 5 stelle,Emilia-Romagna,Senate
1506,CALDEROLI Roberto,CALDEROLI,Lega Nord e autonomie,Lombardia,Senate
249123,CALEO Massimo,CALEO,Partito Democratico,Liguria,Senate
333020,CALIENDO Giacomo,CALIENDO,Popolo della Libertà,Lombardia,Senate
687128,Campanella Francesco,Campanella,Gruppo Misto,Sicilia,Senate
170714,CANDIANI Stefano,CANDIANI,Lega Nord e autonomie,Lombardia,Senate
241319,CANTINI Laura,CANTINI,Partito Democratico,Toscana,Senate
685908,Capacchione Rosaria,Capacchione,Partito Democratico,Campania,Senate
686907,Cappelletti Enrico,Cappelletti,Movimento 5 stelle,Veneto,Senate
503343,CARDIELLO Franco,CARDIELLO,Popolo della Libertà,Campania,Senate
497262,Cardinali Valeria,Cardinali,Partito Democratico,Umbria,Senate
121854,CARIDI Antonio Stefano,CARIDI,Grandi autonomie e libertà,Calabria,Senate
621567,CARRARO Franco,CARRARO,Popolo della Libertà,Emilia-Romagna,Senate
686845,Casaletto Monica,Casaletto,Gruppo Misto,Lombardia,Senate
278,CASINI Pier Ferdinando,CASINI,Area Popolare (NCD-UDC),Campania,Senate
5092,CASSANO Massimo,CASSANO,Area Popolare (NCD-UDC),Puglia,Senate
1516,CASSON Felice,CASSON,Partito Democratico,Veneto,Senate
685702,Castaldi Gianluca,Castaldi,Movimento 5 stelle,Abruzzo,Senate
687130,Catalfo Nunzia,Catalfo,Movimento 5 stelle,Sicilia,Senate
708128,CATTANEO Elena,CATTANEO,Gruppo per le autonomie-Psi,"",Senate
307538,Centinaio Gian Marco,Centinaio,Lega Nord e autonomie,Lombardia,Senate
288,CERONI Remigio,CERONI,Popolo della Libertà,Marche,Senate
8332,CERVELLINI Massimo,CERVELLINI,Gruppo Misto,Lazio,Senate
388569,CHIAVAROLI Federica,CHIAVAROLI,Area Popolare (NCD-UDC),Abruzzo,Senate
296,CHITI Vannino,CHITI,Partito Democratico,Piemonte,Senate
1519,CIAMPI Carlo Azeglio,CIAMPI,Gruppo Misto,Senatore a vita,Senate
687088,Ciampolillo Alfonso,Ciampolillo,Movimento 5 stelle,Puglia,Senate
685955,Cioffi Andrea,Cioffi,Movimento 5 stelle,Campania,Senate
125684,CIRINNA' Monica,CIRINNA',Partito Democratico,Lazio,Senate
686848,Cociancich Roberto,Cociancich,Partito Democratico,Lombardia,Senate
120703,Collina Stefano,Collina,Partito Democratico,Emilia-Romagna,Senate
308,COLUCCI Francesco,COLUCCI,Area Popolare (NCD-UDC),Lombardia,Senate
237135,COMAROLI Silvana,COMAROLI,Lega Nord e autonomie,Lombardia,Senate
333052,COMPAGNA Luigi,COMPAGNA,Area Popolare (NCD-UDC),Campania,Senate
288304,Compagnone Giuseppe,Compagnone,Grandi autonomie e libertà,Campania,Senate
25231,CONSIGLIO Nunziante,CONSIGLIO,Lega Nord e autonomie,Lombardia,Senate
166183,CONTE Franco,CONTE,Area Popolare (NCD-UDC),Veneto,Senate
315,CONTI Riccardo,CONTI,Popolo della Libertà,Lombardia,Senate
30950,CORSINI Paolo,CORSINI,Partito Democratico,Lombardia,Senate
687156,Cotti Roberto,Cotti,Movimento 5 stelle,Sardegna,Senate
494710,CRIMI Vito Claudio,CRIMI,Movimento 5 stelle,Lombardia,Senate
8643,CROSIO Jonny,CROSIO,Lega Nord e autonomie,Lombardia,Senate
364038,Cucca Giuseppe Luigi,Cucca,Partito Democratico,Sardegna,Senate
79111,CUOMO Vincenzo,CUOMO,Partito Democratico,Campania,Senate
169054,D'ADDA Erica,D'ADDA,Partito Democratico,Lombardia,Senate
1537,D'ALI' Antonio,D'ALI',Popolo della Libertà,Sicilia,Senate
333065,D'AMBROSIO LETTIERI Luigi,D'AMBROSIO LETTIERI,Popolo della Libertà,Puglia,Senate
500781,D'ANNA Vincenzo,D'ANNA,Grandi autonomie e libertà,Campania,Senate
685828,D'Ascola Vincenzo Mario Domenico,D'Ascola,Area Popolare (NCD-UDC),Calabria,Senate
687091,D'Onghia Angela,D'Onghia,Grandi autonomie e libertà,Puglia,Senate
8953,DALLA TOR Mario,DALLA TOR,Area Popolare (NCD-UDC),Veneto,Senate
685760,Dalla Zuanna Gianpiero,Dalla Zuanna,Partito Democratico,Veneto,Senate
1541,DAVICO Michelino,DAVICO,Grandi autonomie e libertà,Piemonte,Senate
340,DE BIASI Emilia Grazia,DE BIASI,Partito Democratico,Lombardia,Senate
344,DE CRISTOFARO Peppe,DE CRISTOFARO,Gruppo Misto,Campania,Senate
1544,DE PETRIS Loredana,DE PETRIS,Gruppo Misto,Lazio,Senate
686937,De Pietro Cristina,De Pietro,Gruppo Misto,Liguria,Senate
685732,De Pin Paola,De Pin,Gruppo Misto,Veneto,Senate
1545,DE POLI Antonio,DE POLI,Area Popolare (NCD-UDC),Veneto,Senate
7629,DE SIANO Domenico,DE SIANO,Popolo della Libertà,Campania,Senate
132852,DEL BARBA Mauro,DEL BARBA,Partito Democratico,Lombardia,Senate
359,DELLA VEDOVA Benedetto,DELLA VEDOVA,Gruppo Misto,Lombardia,Senate
332710,DI BIAGIO Aldo,DI BIAGIO,Area Popolare (NCD-UDC),Europa,Senate
276824,Di Giacomo Ulisse,Di Giacomo,Area Popolare (NCD-UDC),Molise,Senate
241490,DI GIORGI Rosa Maria,DI GIORGI,Partito Democratico,Toscana,Senate
342242,Di Maggio Salvatore Tito,Di Maggio,Grandi autonomie e libertà,Basilicata,Senate
275068,DIRINDIN Nerina,DIRINDIN,Partito Democratico,Piemonte,Senate
1554,DIVINA Sergio,DIVINA,Lega Nord e autonomie,Trentino-Alto Adige,Senate
687093,Donno Daniela,Donno,Movimento 5 stelle,Puglia,Senate
685735,Endrizzi Giovanni,Endrizzi,Movimento 5 stelle,Veneto,Senate
8760,ESPOSITO Stefano,ESPOSITO,Partito Democratico,Piemonte,Senate
333101,ESPOSITO Giuseppe,ESPOSITO,Area Popolare (NCD-UDC),Campania,Senate
687004,Fabbri Camilla,Fabbri,Partito Democratico,Marche,Senate
602597,FALANGA Ciro,FALANGA,Popolo della Libertà,Campania,Senate
333103,FASANO Vincenzo,FASANO,Popolo della Libertà,Campania,Senate
721368,FASIOLO Laura,FASIOLO,Partito Democratico,Friuli-Venezia Giulia,Senate
687019,Fattori Elena,Fattori,Movimento 5 stelle,Lazio,Senate
685751,Fattorini Emma,Fattorini,Partito Democratico,Basilicata,Senate
180261,FAVERO Nicoletta,FAVERO,Partito Democratico,Piemonte,Senate
1562,FAZZONE Claudio,FAZZONE,Popolo della Libertà,Lazio,Senate
686979,Fedeli Valeria,Fedeli,Partito Democratico,Toscana,Senate
80512,FERRARA Elena,FERRARA,Partito Democratico,Piemonte,Senate
1564,FERRARA Mario Francesco,FERRARA,Grandi autonomie e libertà,Sicilia,Senate
1565,FILIPPI Marco,FILIPPI,Partito Democratico,Toscana,Senate
418742,FILIPPIN Rosanna,FILIPPIN,Partito Democratico,Veneto,Senate
1566,FINOCCHIARO Anna,FINOCCHIARO,Partito Democratico,Puglia,Senate
158867,FISSORE Elena,FISSORE,Partito Democratico,Piemonte,Senate
34366,FLORIS Emilio,FLORIS,Popolo della Libertà,Sardegna,Senate
1572,FORMIGONI Roberto,FORMIGONI,Area Popolare (NCD-UDC),Lombardia,Senate
14523,FORNARO Federico,FORNARO,Partito Democratico,Piemonte,Senate
163021,FRAVEZZI Vittorio,FRAVEZZI,Gruppo per le autonomie-Psi,Trentino-Alto Adige,Senate
687006,Fucksia Serenella,Fucksia,Movimento 5 stelle,Marche,Senate
685944,Gaetti Luigi,Gaetti,Movimento 5 stelle,Lombardia,Senate
686863,Galimberti Paolo,Galimberti,Popolo della Libertà,Lombardia,Senate
686953,Gambaro Adele,Gambaro,Gruppo Misto,Emilia-Romagna,Senate
446,GASPARRI Maurizio,GASPARRI,Popolo della Libertà,Lazio,Senate
332724,GATTI Maria Grazia,GATTI,Partito Democratico,Toscana,Senate
1586,GENTILE Antonio,GENTILE,Area Popolare (NCD-UDC),Calabria,Senate
1587,GHEDINI Niccolo',GHEDINI,Popolo della Libertà,Veneto,Senate
687171,Giacobbe Francesco,Giacobbe,Partito Democratico,Asia-Africa-Oceania-Antartide,Senate
687668,Giannini Stefania,Giannini,Scelta civica per l'Italia,Toscana,Senate
687134,Giarrusso Mario Michele,Giarrusso,Movimento 5 stelle,Sicilia,Senate
332727,GIBIINO Vincenzo,GIBIINO,Popolo della Libertà,Sicilia,Senate
88199,GINETTI Nadia,GINETTI,Partito Democratico,Umbria,Senate
461,GIOVANARDI Carlo,GIOVANARDI,Area Popolare (NCD-UDC),Emilia-Romagna,Senate
463,GIRO Francesco Maria,GIRO,Popolo della Libertà,Lazio,Senate
686917,Girotto Gianni,Girotto,Movimento 5 stelle,Veneto,Senate
686997,Gotor Miguel,Gotor,Partito Democratico,Umbria,Senate
333147,GRANAIOLA Manuela,GRANAIOLA,Partito Democratico,Toscana,Senate
687024,Grasso Pietro,Grasso,Partito Democratico,Lazio,Senate
687667,Gualdani Marcello,Gualdani,Area Popolare (NCD-UDC),Sicilia,Senate
622140,Guerra  Maria Cecilia,Guerra,Partito Democratico,Emilia-Romagna,Senate
686939,Guerrieri Paleotti Paolo,Guerrieri Paleotti,Partito Democratico,Liguria,Senate
333150,ICHINO Pietro,ICHINO,Scelta civica per l'Italia,Lombardia,Senate
120828,IDEM Josefa,IDEM,Partito Democratico,Emilia-Romagna,Senate
6542,IURLARO Pietro,IURLARO,Popolo della Libertà,Puglia,Senate
275041,LAI Bachisio Silvio,LAI,Partito Democratico,Sardegna,Senate
7621,LANGELLA Pietro,LANGELLA,Area Popolare (NCD-UDC),Campania,Senate
368630,LANIECE Albert,LANIECE,Gruppo per le autonomie-Psi,Valle d'Aosta,Senate
491,LANZILLOTTA Linda,LANZILLOTTA,Scelta civica per l'Italia,Umbria,Senate
1603,LATORRE Nicola,LATORRE,Partito Democratico,Puglia,Senate
4414,LEPRI Stefano,LEPRI,Partito Democratico,Piemonte,Senate
687099,Lezzi Barbara,Lezzi,Movimento 5 stelle,Puglia,Senate
22198,LIUZZI Pietro,LIUZZI,Popolo della Libertà,Puglia,Senate
27631,LO GIUDICE Sergio,LO GIUDICE,Partito Democratico,Emilia-Romagna,Senate
274922,LO MORO Doris,LO MORO,Partito Democratico,Calabria,Senate
128480,LONGO Eva,LONGO,Popolo della Libertà,Campania,Senate
687166,Longo Fausto Guilherme,Longo,Gruppo per le autonomie-Psi,America meridionale,Senate
274873,LUCHERINI Carlo,LUCHERINI,Partito Democratico,Lazio,Senate
687000,Lucidi Stefano,Lucidi,Movimento 5 stelle,Umbria,Senate
521,LUMIA Giuseppe,LUMIA,Partito Democratico,Sicilia,Senate
1619,MALAN Lucio,MALAN,Popolo della Libertà,Piemonte,Senate
238486,MANASSERO Patrizia,MANASSERO,Partito Democratico,Piemonte,Senate
274664,Manconi Luigi,Manconi,Partito Democratico,Sardegna,Senate
74020,MANCUSO Bruno,MANCUSO,Area Popolare (NCD-UDC),Sicilia,Senate
220838,MANDELLI Andrea,MANDELLI,Popolo della Libertà,Lombardia,Senate
685945,Mangili Giovanna,Mangili,Movimento 5 stelle,Lombardia,Senate
531,MARAN Alessandro,MARAN,Scelta civica per l'Italia,Friuli-Venezia Giulia,Senate
274756,Marcucci Andrea,Marcucci,Partito Democratico,Toscana,Senate
536,MARGIOTTA Salvatore,MARGIOTTA,Gruppo Misto,Basilicata,Senate
82522,MARIN Marco,MARIN,Popolo della Libertà,Veneto,Senate
538,MARINELLO Giuseppe Francesco Maria,MARINELLO,Area Popolare (NCD-UDC),Sicilia,Senate
539,MARINO Mauro Maria,MARINO,Partito Democratico,Piemonte,Senate
686960,Marino Luigi,Marino,Area Popolare (NCD-UDC),Emilia-Romagna,Senate
685866,Martelli Carlo,Martelli,Movimento 5 stelle,Piemonte,Senate
4769,MARTINI Claudio,MARTINI,Partito Democratico,Toscana,Senate
686875,Marton Bruno,Marton,Movimento 5 stelle,Lombardia,Senate
687027,Mastrangeli Marino Germano,Mastrangeli,Gruppo Misto,Lazio,Senate
1639,MATTEOLI Altero,MATTEOLI,Popolo della Libertà,Toscana,Senate
686987,Mattesini Donatella,Mattesini,Partito Democratico,Toscana,Senate
8337,MATURANI Giuseppina,MATURANI,Partito Democratico,Lazio,Senate
41,MAURO Mario,MAURO,Grandi autonomie e libertà,Lombardia,Senate
1640,MAURO Giovanni,MAURO,Grandi autonomie e libertà,Campania,Senate
332745,MAZZONI Riccardo,MAZZONI,Popolo della Libertà,Toscana,Senate
561,MERLONI Maria Paola,MERLONI,Gruppo per le autonomie-Psi,Marche,Senate
333195,MESSINA Alfredo,MESSINA,Popolo della Libertà,Lombardia,Senate
1645,MICHELONI Claudio,MICHELONI,Partito Democratico,Europa,Senate
564,MIGLIAVACCA Maurizio,MIGLIAVACCA,Partito Democratico,Emilia-Romagna,Senate
5041,MILO Antonio,MILO,Grandi autonomie e libertà,Campania,Senate
687140,Mineo Corradino,Mineo,Partito Democratico,Sicilia,Senate
572,MINNITI Marco,MINNITI,Partito Democratico,Calabria,Senate
687665,Minzolini Augusto,Minzolini,Popolo della Libertà,Liguria,Senate
4540,MIRABELLI Franco,MIRABELLI,Partito Democratico,Lombardia,Senate
685830,Molinari Francesco,Molinari,Gruppo Misto,Calabria,Senate
686964,Montevecchi Michela,Montevecchi,Movimento 5 stelle,Emilia-Romagna,Senate
617999,MONTI Mario,MONTI,Gruppo Misto,Senatore a vita,Senate
504479,Morgoni Mario,Morgoni,Partito Democratico,Marche,Senate
687068,Moronese Vilma,Moronese,Movimento 5 stelle,Campania,Senate
685833,Morra Nicola,Morra,Movimento 5 stelle,Calabria,Senate
249413,MOSCARDELLI Claudio,MOSCARDELLI,Partito Democratico,Lazio,Senate
685948,Mucchetti Massimo,Mucchetti,Partito Democratico,Lombardia,Senate
332759,MUNERATO Emanuela,MUNERATO,Lega Nord e autonomie,Veneto,Senate
686966,Mussini Maria,Mussini,Gruppo Misto,Emilia-Romagna,Senate
234249,NACCARATO Paolo,NACCARATO,Grandi autonomie e libertà,Lombardia,Senate
1657,NAPOLITANO Giorgio,NAPOLITANO,Gruppo per le autonomie-Psi,"",Senate
4836,NENCINI Riccardo,NENCINI,Gruppo per le autonomie-Psi,Marche,Senate
685957,Nugnes Paola,Nugnes,Movimento 5 stelle,Campania,Senate
685869,Olivero Andrea,Olivero,Gruppo per le autonomie-Psi,Piemonte,Senate
686881,Orellana Luis Alberto,Orellana,Gruppo Misto,Lombardia,Senate
687142,Orrù Pamela,Orrù,Partito Democratico,Sicilia,Senate
8145,PADUA Venera,PADUA,Partito Democratico,Sicilia,Senate
276974,Pagano Giuseppe,Pagano,Area Popolare (NCD-UDC),Sicilia,Senate
346191,Pagliari Giorgio,Pagliari,Partito Democratico,Emilia-Romagna,Senate
686989,Paglini Sara,Paglini,Movimento 5 stelle,Toscana,Senate
4590,PAGNONCELLI Lionello Marco,PAGNONCELLI,Popolo della Libertà,Lombardia,Senate
686897,Palermo Francesco,Palermo,Gruppo per le autonomie-Psi,Trentino-Alto Adige,Senate
1667,PALMA Nitto Francesco,PALMA,Popolo della Libertà,Campania,Senate
8852,PANIZZA Franco,PANIZZA,Gruppo per le autonomie-Psi,Trentino-Alto Adige,Senate
637461,PARENTE Annamaria,PARENTE,Partito Democratico,Lazio,Senate
1673,PEGORER Carlo,PEGORER,Partito Democratico,Friuli-Venezia Giulia,Senate
630,PELINO Paola,PELINO,Popolo della Libertà,Abruzzo,Senate
687073,Pepe Bartolomeo,Pepe,Gruppo Misto,Campania,Senate
372722,Perrone Luigi,Perrone,Popolo della Libertà,Puglia,Senate
4825,PETRAGLIA Alessia,PETRAGLIA,Gruppo Misto,Toscana,Senate
685759,Petrocelli Vito,Petrocelli,Movimento 5 stelle,Basilicata,Senate
7157,PEZZOPANE Stefania,PEZZOPANE,Partito Democratico,Abruzzo,Senate
708130,PIANO Renzo,PIANO,Gruppo Misto,"",Senate
415955,Piccinelli Enrico,Piccinelli,Popolo della Libertà,Lombardia,Senate
23249,PICCOLI Giovanni,PICCOLI,Popolo della Libertà,Veneto,Senate
1681,PIGNEDOLI Leana,PIGNEDOLI,Partito Democratico,Emilia-Romagna,Senate
649,PINOTTI Roberta,PINOTTI,Partito Democratico,Liguria,Senate
4546,PIZZETTI Luciano,PIZZETTI,Partito Democratico,Lombardia,Senate
685954,Puglia Sergio,Puglia,Movimento 5 stelle,Campania,Senate
430976,Puglisi Francesca,Puglisi,Partito Democratico,Emilia-Romagna,Senate
165840,PUPPATO Laura,PUPPATO,Partito Democratico,Veneto,Senate
276217,Quagliariello Gaetano,Quagliariello,Area Popolare (NCD-UDC),Abruzzo,Senate
274877,RANUCCI Raffaele,RANUCCI,Partito Democratico,Lazio,Senate
675,RAZZI Antonio,RAZZI,Popolo della Libertà,Abruzzo,Senate
15141,REPETTI Manuela,REPETTI,Popolo della Libertà,Piemonte,Senate
220625,RICCHIUTI Lucrezia,RICCHIUTI,Partito Democratico,Lombardia,Senate
333257,RIZZOTTI Maria,RIZZOTTI,Popolo della Libertà,Piemonte,Senate
685,ROMANI Paolo,ROMANI,Popolo della Libertà,Lombardia,Senate
686992,Romani Maurizio,Romani,Gruppo Misto,Toscana,Senate
685915,Romano Lucio,Romano,Gruppo per le autonomie-Psi,Campania,Senate
686942,Rossi Maurizio Giuseppe,Rossi,Gruppo Misto,Liguria,Senate
4868,ROSSI Gianluca,ROSSI,Partito Democratico,Umbria,Senate
332896,ROSSI Mariarosaria,ROSSI,Popolo della Libertà,Lazio,Senate
691,ROSSI Luciano,ROSSI,Area Popolare (NCD-UDC),Umbria,Senate
708132,RUBBIA Carlo,RUBBIA,Gruppo per le autonomie-Psi,"",Senate
686932,Russo Francesco,Russo,Partito Democratico,Friuli-Venezia Giulia,Senate
701,RUTA Roberto,RUTA,Partito Democratico,Molise,Senate
703,RUVOLO Giuseppe,RUVOLO,Grandi autonomie e libertà,Sicilia,Senate
1712,SACCONI Maurizio,SACCONI,Area Popolare (NCD-UDC),Veneto,Senate
